asuult,,,,,,,,,,,,,,,angilal,,,,On,
Зөв томъёог  бич ,,,,,,,,,,,,,,,Сэргээн санах,,,,2,
Зөв томъёог  тодорхойлон уу,,,,,,,,,,,,,,,Сэргээн санах,,,,2,
"Зургийг Тайлбарлан үзүүл,",,,,,,,,,,,,,,,Ойлгох,,,,2,
"Дүрсийг  нэгтгэ,",,,,,,,,,,,,,,,Ойлгох,,,,2,
"Дүрсийг  харьцуул,",,,,,,,,,,,,,,,Ойлгох,,,,2,
"Дүрсийг ялга,",,,,,,,,,,,,,,,Ойлгох,,,,2,
"Тоог   илэрхийл,",,,,,,,,,,,,,,,Ойлгох,,,,2,
"Зөв томёог  нотол,",,,,,,,,,,,,,,,Ойлгох,,,,2,
"томёог дэлгэрүүл,",,,,,,,,,,,,,,,Ойлгох,,,,2,
"томёог харуул,",,,,,,,,,,,,,,,Ойлгох,,,,2,
"зурагийг  дүрсэл, ",,,,,,,,,,,,,,,Ойлгох,,,,2,
"бодлогийг дүгнэ, ",,,,,,,,,,,,,,,Ойлгох,,,,2,
"бодлогийг томьёол, ",,,,,,,,,,,,,,,Ойлгох,,,,2,
"тоог хөрвүүл,",,,,,,,,,,,,,,,Ойлгох,,,,2,
асуултийг тайлбарлан бич ,,,,,,,,,,,,,,,Ойлгох,,,,1,
"асуултуудыг  ангил, ",,,,,,,,,,,,,,,Ойлгох,,,,1,
Дараах тайлбаруудаас аль нь зөв бэ,,,,,,,,,,,,,,,Сэргээн санах,,,,1,
Зураг ба өгөгдлийг зөв харгалзуул,,,,,,,,,,,,,,,Сэргээн санах,,,,1,
 Асуултын гол үзүүлэлтүүдийг жагсаан бич.,,,,,,,,,,,,,,,Сэргээн санах,,,,3,
Зөв дараалуулан бич. ,,,,,,,,,,,,,,,Сэргээн санах,,,,3,
Үүнийг хэрхэн тооцоолох вэ? ,,,,,,,,,,,,,,,Хэрэглэх,,,,3,
"Унтралтыг -г олж, үр ашгийг тооцоол.",,,,,,,,,,,,,,,Хэрэглэх,,,,3,
Өөрийн сурсан зүйлээ ашиглан шийдвэрлэнэ үү.,,,,,,,,,,,,,,,Хэрэглэх,,,,3,
Асуултыг -г жишээ гарган тайлбарлана уу.,,,,,,,,,,,,,,,Хэрэглэх,,,,3,
Асуудалыг  шийдэхийн тулд та сурч мэдсэн зүйлээ хэрхэн ашиглах вэ?,,,,,,,,,,,,,,,Хэрэглэх,,,,3,
Хэрэв томъёо үнэн  бол үр дүн нь хэрхэн өөрчлөгдөх вэ?,,,,,,,,,,,,,,,Хэрэглэх,,,,3,
Асуудалыг   шийдэхэд томъёог хэрхэн ашиглах вэ?,,,,,,,,,,,,,,,Хэрэглэх,,,,3,
Схемыг өөрчлөхийн тулд ямар элемент ашиглаж болох вэ?,,,,,,,,,,,,,,,Хэрэглэх,,,,3,
доорх асуултыг ашигла,,,,,,,,,,,,,,,Хэрэглэх,,,,3,
Бодолтын томъёог зур  доорх томёог  Хэрэглэ ,,,,,,,,,,,,,,,Хэрэглэх,,,,3,
Доорх грапик   Хэрэглэ,,,,,,,,,,,,,,,Хэрэглэх,,,,3,
Грапик зохион байгуул,,,,,,,,,,,,,,,Хэрэглэх,,,,3,
Бодолтын үр дүнг  гаар хэрглэ,,,,,,,,,,,,,,,Хэрэглэх,,,,3,
Грапик турш,,,,,,,,,,,,,,,Хэрэглэх,,,,3,
Грапик байгуулан турш ,,,,,,,,,,,,,,,Хэрэглэх,,,,3,
Бодлогийг сайжруулан  хөгжүүл,,,,,,,,,,,,,,,Хэрэглэх,,,,3,
Рандомыг  тооцоол,,,,,,,,,,,,,,,Хэрэглэх,,,,3,
Хугцааг  төлөвлө,,,,,,,,,,,,,,,Хэрэглэх,,,,3,
Зөв хариултыг сонго,,,,,,,,,,,,,,,Хэрэглэх,,,,3,
Асуудлыг шийдвэрлэ,,,,,,,,,,,,,,,Хэрэглэх,,,,3,
Гиометр загвар гарга,,,,,,,,,,,,,,,Хэрэглэх,,,,3,
Гиометр загвар гаргаж тодорхойл,,,,,,,,,,,,,,,Хэрэглэх,,,,3,
Гиометр загвар гаргаж тооцоол,,,,,,,,,,,,,,,Хэрэглэх,,,,3,
Гиометр загвар гаргаж шийдвэрлэ,,,,,,,,,,,,,,,Хэрэглэх,,,,3,
Гиометр загвар гаргаж сайжруулан хөгжүүл,,,,,,,,,,,,,,,Хэрэглэх,,,,3,
Хэрэглэгчийг  тодорхойл,,,,,,,,,,,,,,,Хэрэглэх,,,,3,
Хэрэглэгчийг  бодож гарга,,,,,,,,,,,,,,,Хэрэглэх,,,,4,
Гиометр загвар гаргаж гүйцтэг,,,,,,,,,,,,,,,Хэрэглэх,,,,4,
"Ялгаатай ба төстэй тал, сайн, муу ямар үр дагавар байгааг тодорхойл",,,,,,,,,,,,,,,Задлан шинжлэх,,,,4,
"Бидний мэдэх юутай адил байна, анализ хий.",,,,,,,,,,,,,,,Задлан шинжлэх,,,,4,
Схемыг өөрчлөхийн тулд ямар элемент ашиглаж болох уу?,,,,,,,,,,,,,,,Задлан шинжлэх,,,,4,
Асуудалыг   шийдэхэд томъёог хэрхэн ашиглах уу?,,,,,,,,,,,,,,,Задлан шинжлэх,,,,4,
Хэрэв томъёо үнэн  бол үр дүн нь хэрхэн өөрчлөгдөх үү?,,,,,,,,,,,,,,,Задлан шинжлэх,,,,4,
Асуудалыг  шийдэхийн тулд та сурч мэдсэн зүйлээ хэрхэн ашиглах ?,,,,,,,,,,,,,,,Задлан шинжлэх,,,,4,
"Унтралтыг олж, үр ашгийг тооцоол.",,,,,,,,,,,,,,,Задлан шинжлэх,,,,4,
системыг нотол. Ямар хамаарал байсан бэ?,,,,,,,,,,,,,,,Задлан шинжлэх,,,,4,
Асуултанд  ямар дүгнэлт хийж болох байсан бэ?,,,,,,,,,,,,,,,Задлан шинжлэх,,,,4,
"дүн шинжилгээ хийж, үе шатуудыг жагсаан бич. ",,,,,,,,,,,,,,,Задлан шинжлэх,,,,4,
Анализын шалтгаан нь юу вэ?,,,,,,,,,,,,,,,Задлан шинжлэх,,,,4,
Та яагаад гэж бодож байна? ,,,,,,,,,,,,,,,Задлан шинжлэх,,,,4,
Бодолт нь асуудалтай хэрхэн холбогдох вэ? ,,,,,,,,,,,,,,,Задлан шинжлэх,,,,4,
Бодсон бодлого болон Асуултанд Дүн шинжилгээ хий,,,,,,,,,,,,,,,Задлан шинжлэх,,,,4,
Бодсон бодлогоо   Ангил,,,,,,,,,,,,,,,Задлан шинжлэх,,,,4,
Бодсон бодлогоо  Харьцуул,,,,,,,,,,,,,,,Задлан шинжлэх,,,,4,
Бодсон бодлогоо   Илрүүл,,,,,,,,,,,,,,,Задлан шинжлэх,,,,4,
Бодсон бодлогоо   задал ,,,,,,,,,,,,,,,Задлан шинжлэх,,,,4,
Бодсон бодлогоо   хуваа,,,,,,,,,,,,,,,Задлан шинжлэх,,,,4,
Бодсон бодлогоо  шалга,,,,,,,,,,,,,,,Задлан шинжлэх,,,,4,
Бодлого тус бүрийг  нарийвчлан тооц,,,,,,,,,,,,,,,Задлан шинжлэх,,,,4,
Бодлого тус бүрийг хялбарчил,,,,,,,,,,,,,,,Задлан шинжлэх,,,,4,
Асуулт  тус бүрийг хоорондон  ялга,,,,,,,,,,,,,,,Задлан шинжлэх,,,,4,
Улиралийн явцыг хянан шалга,,,,,,,,,,,,,,,Задлан шинжлэх,,,,4,
Дүн шинжилгээг  боловсруул,,,,,,,,,,,,,,,Задлан шинжлэх,,,,4,
Бодож чадааггүй  шалтгааныг тайлбарла,,,,,,,,,,,,,,,Задлан шинжлэх,,,,4,
Бодсон бодолтоо  дүгнэ,,,,,,,,,,,,,,,Задлан шинжлэх,,,,4,
Грапигийг нүдэндээ  төсөөл,,,,,,,,,,,,,,,Задлан шинжлэх,,,,4,
Дүн шинжилгээний Өгөгдөлд анализ хийх ,,,,,,,,,,,,,,,Задлан шинжлэх,,,,4,
Бодлог болон Асуудалд анализ хийх,,,,,,,,,,,,,,,Задлан шинжлэх,,,,4,
Бодолтонд  Цогц асуудалд анализ хийх,,,,,,,,,,,,,,,Задлан шинжлэх,,,,5,
Бодолтын Системд анализ хийх,,,,,,,,,,,,,,,Задлан шинжлэх,,,,5,
Дэвшилттэй тал нь юу вэ? ,,,,,,,,,,,,,,,Үнэлэх,,,,5,
Та аль замыг сонгох байсан бэ?,,,,,,,,,,,,,,,Үнэлэх,,,,5,
"Энэ шийдвэр зөв үү, яагаад? ",,,,,,,,,,,,,,,Үнэлэх,,,,5,
"Аргаар бодвол илүү оновчтой вэ, яагаад?",,,,,,,,,,,,,,,Үнэлэх,,,,5,
"Яагаад загварчлал гэж нэрлэсэн бэ, ",,,,,,,,,,,,,,,Үнэлэх,,,,5,
Шийдэхийн тулд ямар өөрчлөлт хийх хэрэгтэй вэ?,,,,,,,,,,,,,,,Үнэлэх,,,,5,
Шалтгаан нь юу вэ?,,,,,,,,,,,,,,,Үнэлэх,,,,5,
 Хэрхэн сайжруулах вэ?,,,,,,,,,,,,,,,Үнэлэх,,,,5,
Хэрэв нөхцөл байдал  өөрчлөгдвөл хэрхэн шийдэх вэ?,,,,,,,,,,,,,,,Үнэлэх,,,,5,
Шалтгааныг нь нарийвчлан тооцон гаргана уу. ,,,,,,,,,,,,,,,Үнэлэх,,,,5,
"Тест  бүтээж болох уу, Яаж?
Дараах төлөвлөгөөг та хэрхэн өөрчлөх вэ?",,,,,,,,,,,,,,,Үнэлэх,,,,5,
"Тест  бүтээж болох уу, Яаж?",,,,,,,,,,,,,,,Үнэлэх,,,,5,
Дараах төлөвлөгөөг та хэрхэн өөрчлөх вэ?,,,,,,,,,,,,,,,Үнэлэх,,,,5,
Грапикыг хэрхэн зохиомжлох вэ?,,,,,,,,,,,,,,,Үнэлэх,,,,5,
Сайжруулахын тулд хэрхэн нэгтгэх вэ? ,,,,,,,,,,,,,,,Үнэлэх,,,,5,
Үүнийг хэрхэн тестлэх вэ?,,,,,,,,,,,,,,,Үнэлэх,,,,5,
Асуудалыг шийдэхийн тулд загвар гаргана уу,,,,,,,,,,,,,,,Үнэлэх,,,,6,
"Программ  ба математик хоёрт ялгаа байна уу, та юу гэж бодож байна?",,,,,,,,,,,,,,,Үнэлэх,,,,6,
Үүгээр өөр юу бүтээж болох вэ?  ,,,,,,,,,,,,,,,Бүтээх,,,,6,
Асуудлыг ингэж шийдэж болох уу,,,,,,,,,,,,,,,Бүтээх,,,,6,
"Томьёо, дүгнэлт зөв гэдгийг математик аргаар батлах, түүнийг хэрэглэх. Процесс үр дүнтэй санал нэгдэж байна уу?  
",,,,,,,,,,,,,,,Бүтээх,,,,6,
Та юу гэж бодож байна? Та юу гэж зөвлөх вэ? ,,,,,,,,,,,,,,,Бүтээх,,,,,
"Үүнийг та хэрхэн нотлох/няцаах вэ ? Бүтээлийн  үнэ цэнэ, ач холбогдлыг та хэрхэн үнэлж байна вэ? ",,,,,,,,,,,,,,,Бүтээх,,,,,
