,asuult,angilal,on
,"Цахилгаан соронзон оронгийн цахилгаан орны хүчлэгийн вектор 0 xE , 0 yE , 0 zE ; соронзон оронгийн хүчлэгийн вектор 0 xH , 0 yH , 0 zH бол ямар долгион (H,E) аль тэнхлэгийн дагуу тархаж байна вэ?",Ойлгох,2
,"xE , 0 yE , 0 zE , 0 xH , 0 yH , 0 zH нөхцлийг хангах Хавтгай цахилгаан соронзон долгионы  тэгшитгэлийг сонгоно уу.",Сэргээн санах,1
,Цахилгаан орны тангенциаль байгууламж 2 орчны заагт  яаж өөрчлөгдөх хязгаарын нөхцлийг  тодорхойл.,Сэргээн санах,1
,Холбооны шугаманд холимог долгионы горим үүсэх  нөхцлийг сонго,хэрэглэх,3
,"Нэрт эрдэмтэн Максвеллийн дэвшүүлсэн санааг нотолсоноор радио холбоо, сансрын холбоо үүсэх урьдчилсан нөхцөл бүрджээ. Тэр санааны физик утга юу вэ?",Сэргээн санах,1
,"  Дамжуулагч, хагас дамжуулагчаар гүйж байгаа гүйдлийг................гүйдэл гэнэ.",Ойлгох,2
,div байхад цахилгаан цэнэг ямар тэмдэгтэй байх вэ?     ,Сэргээн санах,1
,Орчны анхдагч параметр нь ) 000(    aa бол энэ нь  ямар орчин бэ?,Сэргээн санах,1
, А векторын Ротор функцыг тодорхойлох томъёог сонгоно уу?,Сэргээн санах,1
,Дараах параметрүүдээс  аль нь интеграл параметр вэ? ,Сэргээн санах,1
, Статик цахилгаан орны  хүчний шугам,Сэргээн санах,1
,Дамжуулалтын гүйдлийн нягт нь температур багасах тутам:,Сэргээн санах,1
,Шугамын эсэргүүцэл температураас хамаарах уу? ,Сэргээн санах,1
,Шугамын багтаамж утасны диаметр ихэсч утас хоорондох зай  өөрчлөгдөөгүй байхад ,Сэргээн санах,1
,G долгион дамжуулах орчны  ямар төрлөөр тархах вэ? ,Сэргээн санах,1
,ЦСД-ыг юу юугаар ангилдаг вэ? ,Сэргээн санах,1
,ЦХО –ийг хэрэглэх хязгаарын нөхцлийг тодорхойл.,Сэргээн санах,1
,Ирмэгийн дагуух параметр нь диогналын дагуух параметртэй тэнцүү биш орчинг...............гэнэ.,Сэргээн санах,1
,Цахилгаан орны индукцийн векторыг тодорхойл. ,Сэргээн санах,1
,Цахилгаан соронзон хэлбэлзэл ямар хэлхээнд үүсэх вэ,Сэргээн санах,1
,Цахилгаан соронзон орон зүй хичээл нь цахилгаан хэлхээний орчинд болж буй цахилгаан соронзон үзэгдлийг судална.,Сэргээн санах,1
,ЦСД нь микро орчинд бөөмлөг шинжтэй.,Сэргээн санах,1
,ЦСД нь зөвхөн цахилгаан орны хүчлэгийн вектор (Е)-ээр тодорхойлогддог .,Сэргээн санах,1
,Орон зайд С=3*108 м/с хурдтайгаар тархаж байгаа цахилгаан соронзон хэлбэлзэл бол...............юм.,Ойлгох,2
,"Тодорхой тоон утга агуулсан, хязгаарлагдмал хурдтайгаар орон зайд тархаж байгаа хэлбэлзэл бол.............юм.",Сэргээн санах,1
,Дундаж цэг агуулсан бөгөөд тодорхой хязгаарт давтагдан үүсч байгаа хөдөлгөөн бол ...............юм. ,Сэргээн санах,1
,Дараах графикийг байгуулах программыг сонгоно уу.  ,Сэргээн санах,1
,Дараах графикийг байгуулах программыг сонгоно уу.,Сэргээн санах,1
,0 ≤ 𝑥 ≤ 5  завсарт 100 утга авах,Ойлгох,2
,𝑒2𝑥 –г илэрхийлэх кодыг,Ойлгох,2
,∫ 𝑒𝑥2 3/2 1/2 –ийн кодыг сонгоно уу.,Ойлгох,2
,Дараах графикийг байгуулах программыг сонгоно уу.,Ойлгох,2
,0-ээс 100 хүртэлх утгаар 3 алхамтайгаар вектор үүсгэ.,Ойлгох,2
,ans = 1.00    1.57    2.14    2.71    3.28    3.85    4.42    5.00 –ын командыг сонгоно уу.,Ойлгох,2
,  График байгуулах командыг сонгоно уу. ,Ойлгох,2
,figure цонхыг 4 хуваасны 3-р байрлалд график байгуулах.,Ойлгох,2
,Matlab-д анимшн хийдэг командыг сонгоно уу.  ,Ойлгох,2
, графикт гарчиг оруулах командыг сонгоно уу. ,Ойлгох,2
,x=[1 2 3 6 8 5] –ийн ans = 1     4     9    36    64    25 бол командыг сонгоно уу.,Ойлгох,2
,графикийн х тэнхлэгийг “t-ээс хамаарсан” гэж нэрлэх. ,Ойлгох,2
,M=[1 2;3 4]; ans =     1     2     1     2     1     2     1     2        3     4     3     4     3     4     3     4        1     2     1     2     1     2     1     2        3     4     3     4     3     4     3     4 бол командыг сонгоно уу.,Ойлгох,2
,sum(x)-ын  ans = 15   15    15  бол “х”-г олно уу.,Ойлгох,2
,max(x)-ын  ans = 15   32    35   бол “х”-г олно уу.,Ойлгох,2
,min(x)  ans = 2     3     4      бол “х”-г олно уу.,Ойлгох,2
,"Гурван мөр, 5 баганатай жигд тархалттай санамсаргүй тооноос бүрдсэн матриц үүсгэ.",Ойлгох,2
,sum(y)  ans = 33 бол “y”-г олно уу.,Ойлгох,2
,floor(x)  ans =  -2    -1     3     5     7   бол “x”-г олно уу.,Ойлгох,2
,ceil(x)  ans =  -3     3     5   бол “x”-г олно уу.,Ойлгох,2
,fix(x)  ans = 2     3     4    -2  бол “x”-г олно уу.,Ойлгох,2
,round(x)  ans = 3     3     3     7  бол “x”-г олно уу.,Ойлгох,2
,"mod(18,5)  бол зөв хариултыг ол.",Ойлгох,2
,"A=[8 1 6;3 5 7;4 9 2] өгөгдсөн. circshift(A,2)  бол зөв хариуг ол.",Ойлгох,2
,"A=[12 3 6;7 5 9;11 1 4]; circshift(A,[2,1])  бол зөв хариуг ол.",Ойлгох,2
,Олон гишүүнтийн язгуурууд нь        r =    -4.0000             -3.0000             -1.0000 + 2.0000i   -1.0000 - 2.0000i    0.0000 + 0.5000i    0.0000 - 0.5000i      бол олон гишүүнтийг ол.,Ойлгох,2
,Дурын утганд температурыг хөрвүүлэх. (C to F),Ойлгох,2
,𝑠6 +9𝑠5 +31.25𝑠4 +61.25𝑠3 +67.75𝑠2 +14.75𝑠 +15  олон гишүүнтийн язгуурыг ол.,Ойлгох,2
,𝐴 = (1 2 3 4 5 6 7 8 9 10 11 12) матрицын хэмжээсийг өөрчилж  𝐵 = ( 1 10 8 6 4 2 11 9 7 5 3 12)  болгоно уу.,Ойлгох,2
,Давтамжаараа модуляцлагдсан дохио үүсгэх програм бичнэ үү.,Ойлгох,2
,0 ≤ 𝑥 ≤ 4𝜋  засварт 100 утга сонгоод  𝑦 = 𝑒−0.4𝑥sin(𝑥) функцын графикийг тасархай улаан шугамаар байгуулах.,Ойлгох,2
,𝑦 = sin⁡ (𝑥)  ба  𝑦 = sin⁡ (𝑥 + 3 2𝜋)  дохионуудыг нэмэх загварыг симулинкийн блокуудыг ашиглан зур.,Ойлгох,2
,1-ээс N тооны нийлбэрийг олох программ бич.,Ойлгох,2
,"100 баллын үнэлгээг  A,B,C,D үнэлгээгээр илэрхийл.",Ойлгох,2
,“type text” нүдэнд гараас дурын техт оруулахад “teАль нь утасгүй телефон холбоонд хэрэглэгддэг бэ?,Ойлгох,2
,Аль нь утасгүй телефон холбоонд хэрэглэгддэг бэ? ,Сэргээн санах,1
,Телефон хэрэглэгч дугаараа буруу цуглуулсан бол энэ ямар ачааллын төрөлд багтах бэ?,Сэргээн санах,1
,Коммутатор нь аль төрлийн холболтын хэрэгсэлд багтах бэ?,Сэргээн санах,1
, Улаанбаатар хотын доторх яриа хамгийн ихдээ хэчнээн холболтын зангилаагаар дайрах бэ? ,Сэргээн санах,1
,Олон мөчирт эрэгчийн шатны давуу тал.,Сэргээн санах,1
,Ачаалыг тодорхойлдог хамгийн гол параметрийг ол? ,Сэргээн санах,1
,Аль нь хамгийн өндөр ачаалалтай телефон хэрэглэгчийн категорит харгалзах бэ? ,Сэргээн санах,1
,Товчлуурт телефон аппаратын тэжээгдэх тогтмол хүчдлийн хэмжээ хэд бэ? ,Сэргээн санах,1
,Товчлуурт дугаар цуглуулагчтай телефон аппаратнаас 6 гэсэн цифр цуглуулсан бол хичнээн хугацаа шаардах бэ?,Сэргээн санах,1
,"UА(t)=1060млВ, UБ(t)= -1720млВ, UВ(t)= 520млВ хүчдлүүд телефоны микрофон дээр үүссэн бол эдгээр хүчдлүүдийг муруй шугамын квантаар квантчилr хариуг хариултын хүснэгтэн дотор бич.",хэрэглэх,3
,Дараах F9TS10 -ийн дамжих хугацааны завсаруудыг ол.,ойлгох,2
,Нэг RSU-ийн хувьд 900 хэрэглэгчийн шугаманд хичнээн РСМ(Зэрэг-20%) шаардлагатай бэ?,ойлгох,2
,3 секундэд хичнээн Мulti frame дамждаг бэ? Multi frame-дэд дамжих битийн тоог ол.,ойлгох,2
,Багц шугамын болон холболтын хэрэгслийн тоог ямар параметрийн тусламжтай тооцоолдог бэ? ,ойлгох,2
,"Хэрэглэгчийн ба холбох шугамын ачаалал -0,1Е, -0,8Е бол хоногт дунджаар хичнээн минут эзлэгдэх ёстой бэ?",ойлгох,2
,Дуудлага буюу хонхны гүйдлийн давтамж болон хүчдлийг ол? ,ойлгох,2
,Нөхцөлт эрэлтийн үед холбооны системийн ямар байгууламжын ачаалл ыг ихэсгэдэг бэ?,Сэргээн санах,1
,Шугаман эрэлтийг гүйцэтгэхэд хичнээн тооны цифр шаардлагатай бэ? ,Сэргээн санах,1
,Бүлэгчилсэн эрэлтийг гүйцэтгэхэд хичнээн тооны цифр шаардлагатай бэ? ,Сэргээн санах,1
,Дискэн дугаар цуглуулагчтай телефон аппаратнаас 6 гэсэн цифр цуглуулсан бол хичнээн хугацаа шаардах бэ?,хэрэглэх,3
,Товчлуурт дугаар цуглуулагчтай телефон аппаратнаас 6 гэсэн цифр цуглуулсан бол ямар ямар давтамжийн хослолууд дамжих бэ?,хэрэглэх,3
, Телефон сүлжээний багц шугамын тоо нь ямар параметрээс хамаарах бэ?,Сэргээн санах,1
, А мөчир дээр үүсэх холболтын цэгийн үүрэг нь . . . ,Сэргээн санах,1
,"Хэрэглэгчийн ба холбох шугамын ачаалал -0,1Е, -0,7Е , нийт холбогдох РСМ шугамын тоо N=76, суурин буюу дотроо битүүрэх ачаалал нь 50% бол хэрэглэгчийн ба холбох шугамын тоог олж график байгуул.",хэрэглэх,3
,"Олон мөчирт эрэгчийн(ОМЭШ) шат  [300х30х300]- г ХХ[1х1], ХХ [1х10][ -уудыг ашиглан зурна уу? Оролцох нийт элементийн тоог ол.",Сэргээн санах,1
,Хэрвээ нөхцөлт координатны систем [100х60х40x20]-д 17-р оролтоор дуудлага орж 18-р гаралтаар гарсан бол нөхцөлт координат параметрүүдийг ол.,Сэргээн санах,1
,"ХХ[20x10]-ыг ашиглан ХБ[170х110х100]-ыг нөхцөлт координатны схемээр үүсгэсэн бол  Ka, Na, Ma, Kb, Nb, Mb параметрүүдийг олж дараах нөхцөлт координатуудыг олно уу . FAB=1",Сэргээн санах,1
,Нүүрсэн микрофоны схемийг зурж тайлбарла. ,Сэргээн санах,1
,Ачаалал үүсгэгчүүдийн төрлүүдийг бич. Ямар учраас ачааллыг тус тусд нь олдог бэ,Сэргээн санах,1
,"Шугаман эрэлтийн үе дэхь холболтын цэгийн тоог олж, мөчирлөсөн схемийг зур. Телефон холбооны бүрэлдэхүүн хэсэг, телефон аппарат",Сэргээн санах,1
, “S” талбайд “V” эзэлхүүнд тархсан “N” тооны хэрэглэгчийн хооронд   мэдээлэл солилцох зорилгоор эмхлэн байгуулсан радио  электроникийн цогцолборыг Цахилгааан Холбооны сүлжээ гэнэ. ,Сэргээн санах,1
,Харилцаа холбооны сүлжээ нь зөвхөн хэрэглэгчүүдийг холбох үүрэгтэй. ,Сэргээн санах,1
, Харилцаа холбооны сүлжээнд холбогдсон хэрэглэгчийн тоог ачаалал гэнэ.,Сэргээн санах,1
, PSTN ямар сүлжээний товчлол вэ? ,Сэргээн санах,1
, NGN ямар сүлжээний товчлол вэ? ,Сэргээн санах,1
,Харилцаа холбооны олон төрлүүдээс хамгийн анхдагч нь ямар холбоо вэ? ,Сэргээн санах,1
,Цахилгаан Холбооны сүлжээнд нэвтрүүлэгч ямар үүрэгтэй вэ? ,Сэргээн санах,1
,Тоон сүлжээ нь 3 үе шатыг туулаад байна. Үүнийг зөв дарааллаар нь сонго.,Сэргээн санах,1
,Сувгийн эзэлхүүнийг аль томъёогоор тодорхойлох вэ?,Сэргээн санах,1
,  Телефон сүлжээний ачаалалын матрицаар  юу тодорхойлогдох вэ? ,Сэргээн санах,1
, Сүлжээний үнийн матриц бусад бүтцийн матрицуудаасаа юугаараа ялгаатай вэ? ,Сэргээн санах,1
,Телефон сувгийн динамик диапазон хэд байх ёстой  вэ?,Сэргээн санах,1
,Дохиог гажуудалгүй дамжуулах боломжтой нөхцлийг сонго?  ,Сэргээн санах,1
,Европ стандартын PDH –ын  (E4) IV эрэмбийн тоон урсгал ямар хурдтай вэ?,Сэргээн санах,1
,SDH-ийн STM-4 урсгалын хурд хэд вэ?,Сэргээн санах,1
,Сүлжээнд үүсэх ачааллыг яаж тодорхойлдог вэ?  ,Сэргээн санах,1
, Сүлжээний статистик өгөгдлүүдийг ямар аргаар дүрслэдэг вэ? ,Сэргээн санах,1
,Зайн матриц тэгш хэмтэй юу? ,Сэргээн санах,1
, Сүлжээний дугаарлалтын төлөвлөлтийг ямар хугацаанд хийх вэ? ,Сэргээн санах,1
,Дараах стандартуудын аль нь телефон сүлжээний дугаарлалтынх вэ?  ,Сэргээн санах,1
,Үүрэн холбооны сүлжээг бүрдүүлэгч 3 үндсэн дэд системийг сонго?,Сэргээн санах,1
,Бааз станцын бүрхэлт нь юугаар тодорхойлогдох вэ?,Сэргээн санах,1
,GSM системийн CAI –н удирдлагын шууд суваг нь:  ,Сэргээн санах,1
,Ачааллыг  Эрлангаар тодорхойлдог. Нэг Эрланг гэж ямар хэмжээ вэ?,Сэргээн санах,1
,Сүлжээний синхрончлолыг зохион байгуулах аргуудыг дурьдана уу?  ,Сэргээн санах,1
,Анхдагч цаг үүсгүүрт (PRS)  ямар нарийвчлалтай генератор сонгох вэ? ,Сэргээн санах,1
,Slip-ыг илрүүлэхийн тулд ямар төхөөрөмж хаана тавьдаг вэ?,Сэргээн санах,1
,GPS-ээр хүлээн авсан цагийн дохиог хааш нь хувиарладаг вэ? ,Сэргээн санах,1
, ЦХСүлжээний найдвар гэж юуг хэлдэг вэ?  ,Сэргээн санах,1
,Сүлжээний найдвар ямар ямар шинжүүдийг агуулдаг вэ?,Сэргээн санах,1
, Терминалын чанарыг ямар үзүүлэлтээр тодорхойлдог вэ?,Сэргээн санах,1
,Терминалын амьдралын хугацааг яаж тодорхойлдог вэ?   ,Сэргээн санах,1
,Ажилд бэлэн байдлын коэффициентийг яаж тодорхойлох вэ?,Сэргээн санах,1
,Нягтруулсан шугамын гэмтлийн нягтыг яаж тодорхойлдог вэ?,Сэргээн санах,1
,Сүлжээнд  n тооны элемент зэрэгцээ залгагдсан бол сүлжээний найдвартай ажиллах магадлалыг яаж тодорхойлох вэ? ,Сэргээн санах,1
,Гэмтэл үргэлжлэх дундаж хугацааг яаж тодорхойлдог вэ?  ,Сэргээн санах,1
,Тоон сүлжээний  хувьд чанарын гол үзүүлэлтийг  юугаар тодорхойлох  вэ?,Сэргээн санах,1
,Холболтын системийн чанарыг яаж тодорхойлох вэ?  ,Сэргээн санах,1
,Ерөнхий сувгийн SS7 дохиоллын системийн функциональ бүтцийг сонго?,Сэргээн санах,1
,Ерөнхий сувгийн SS7 дохиоллын системийн MSU фреймийн бүтцийг сонго?,Сэргээн санах,1
,Мэдээлэл дамжуулах техник хэрэгслүүдийг дурьдана уу?  ,Сэргээн санах,1
,"15000 хэрэглэгчтэй телефон сүлжээнд үүсэх оргил ачааллын хэмжээ, шаардлагатай холбох шугамын тоог тодорхойлно уу?",Сэргээн санах,1
,10-9 нарийвчлалтай цаг үүсгүүр хэрэглэх үед Slip гарах давтамжийг болон         үеийг тодорхойл.,Сэргээн санах,1
,Сүлжээний ачаалал Y = 25 +30t +15t2  хуулиар өөрчлөгдөнө гэж үзээд         15 жилийн дараа түүний ачаалал ямар байхыг тодорхойл.,ойлгох,2
,.Өгөгдсөн бүтцийн матрицын дагуу холбооны сүлжээний топологийг зурна уу?,хэрэглэх,3
,   Өгөгдсөн сүлжээний      бүтцийн матрицийг  бичнэ үү?  ,Сэргээн санах,1
,Өгөгдсөн сүлжээний 1 ба 3-р оройн хоорондох найдвартай ажиллагааг тодорхойлно уу?,Сэргээн санах,1
,Системийн  найдвартай ажиллагааны графикийг тайлбарла,хэрэглэх,3
,Удирдлагын сүлжээний  бүтцийн схемыг зурж тайлбарла,хэрэглэх,3
,Дамжуулах сүлжээний аналог ба тоон технологиудыг нэрлэжтайлбарла.. ,хэрэглэх,3
,"Цахилгаан холбооны ачааллын дэд сүлжээ нь дамжуулах, холболтын. төгсгөлийн     төхөөрөмжийн, удирдлага хяналтын гэсэн 4 дэд системүүдээс бүрддэг.",ойлгох,2
,Харилцаа холбооны сүлжээ нь мэдээлэл дамжуулах үүрэгтэй.,ойлгох,2
,Орчин үеийн Цахилгаан холбооны сүлжээнд нэгэн зэрэг 4 дэд сүлжээ зохион байгуулагдаг.,Сэргээн санах,1
, PTN ямар сүлжээний товлол вэ? ,Сэргээн санах,1
,ISDN ямар сүлжээний товчлол вэ? ,Сэргээн санах,1
,Цахилгааан Холбооны сүлжээний үндсэн элемент___________болно. ,Сэргээн санах,1
,Холбооны сүлжээний үйлдвэрлэлийн бүтээгдэхүүн юу вэ?,Сэргээн санах,1
,Асинхрон тоон сүлжээний гол онцлог юу вэ? ,Сэргээн санах,1
,Сүлжээ төлөвлөлтийг ямар ямар чиглэлүүдээр хийдэг вэ?  ,Сэргээн санах,1
,Сүлжээний зангилааг нэг бүрчилэн холбох аргын үед шаардагдах холбох       шугамын  тоог яаж тодорхойлдог вэ?  N – зангилааны тоо ,Сэргээн санах,1
,Сувгаар дамжих дохионы  эзлэхүүнийг яаж тодорхойлох вэ?,Сэргээн санах,1
,Ямар тохиолдолд  дохио гажуудах вэ? ,Сэргээн санах,1
,Сүлжээнд үүсэх ачааллын эрчимийг яаж тодорхойлдог вэ? ,Сэргээн санах,1
,Динамик диапазоныг яаж тодорхойлдог вэ?,Сэргээн санах,1
,Телефон сувгийн спектрийн өргөн ямар байдаг вэ?  ,Сэргээн санах,1
,Улс хоорондын сүлжээний  дугаарлалтын бүтцийг сонгоно уу? ,Сэргээн санах,1
,"Транк код, еscape код хоёр ямар ялгаатай вэ?  ",Сэргээн санах,1
,Европ стандартын PDH-ийн I эрэмбийн тоон урсгал болох Е1 систем ямар хурдтай вэ?,Сэргээн санах,1
,SDH-ийн STM-1 урсгалын хурд хэд вэ?,Сэргээн санах,1
,Тоон сүлжээний хурдны шатлалын үндсэн сувгийн хурд хэд вэ?,Сэргээн санах,1
,GSM-ийн урвуу сувгийн давтамж нь,Сэргээн санах,1
,Хөдөлгөөнт үүрэн холбооны GSM системийн CAI-н ярианы шууд суваг: ,Сэргээн санах,1
,Давтамж хуваарилалтын динамик аргын үед хөдөлгөөнт хэрэглэгч хаанаас суваг хүсэх вэ,Сэргээн санах,1
,Алдагдал ачаалал нь юуг зааж яаж тодорхойлогдох вэ?,Сэргээн санах,1
,Синхрочлолын алдааг юугаар хэмждэг вэ?,Сэргээн санах,1
,PCM  холбох шугамаар синхрончлолын дохиог яаж явуулдаг вэ? ,Сэргээн санах,1
,PLL технологийг сүлжээнд юунд ямар зорилгоор ашигладаг вэ? ,Сэргээн санах,1
,GPS (Global position system) төхөөрамж нь ямар үүрэгтэй вэ?,Сэргээн санах,1
,Гэмтэл үүсэх ямар ямар шалтгаан  байж болох вэ?,Сэргээн санах,1
,Үйлчилгээний Чанар  гэж юу болохыг тодорхойлолно уу?  ,Сэргээн санах,1
,Терминалын гэмтлийн нягтыг яаж тодорхойлдог вэ?  ,Сэргээн санах,1
,Системийн  гэмтлийн эрчимийг яаж тодорхойлдпог вэ?   ,Сэргээн санах,1
,Дамжуулах байгууламж  нягтруулсан ба нягтруулаагүй шугамаас бүрдсэн бол       гэмтлийн нягт яаж  тодорохойлогдох вэ?  ,Сэргээн санах,1
,Аналаг РРШ-д 1 сарын хувьд гэмтлийн эрчимшлийг яаж тодорхойлох вэ?,Сэргээн санах,1
,"Системийн Ажилд бэлэн байдлын коэффициент 0,9999  бол жилд хэдэн цагийн                гэмтэл гарсан бэ?",ойлгох,2
,Хотын телефон сүлжээнд хэрэглэдэг олон хосын нам давтамжийн кабелийн        чанарын  үзүүлэлтийг тодорхойлоход юуг онцлох вэ?,Сэргээн санах,1
,Холболтын системийн ажиллагааны чанарыг ашиглалтын нөхцөлд юугаар тодорхойлох вэ? ,ойлгох,2
,Сувгийн холбоотой дохиоллын системд PCM –30-ын зөвхөн нэг сувгийг дохиололд ашигладаг. Энэ ямар суваг вэ?,ойлгох,2
,Out-band  дохиолол гэж ямар дохиолол вэ?  ,ойлгох,2
,Ерөнхий сувгийн SS7 дохиоллын системийн FISU фреймийн бүтцийг сонго?,ойлгох,2
, ЦХ Сүлжээний  ангиллыг тодорхойлж бичнэ үү? ,ойлгох,2
,"15000 хэрэглэгчтэй телефон сүлжээнд үүсэх оргил ачааллын хэмжээ, шаардлагатай PCM-ийн        тоог тодорхойл.",ойлгох,2
,Сүлжээний ачаалал   Y = 20 +36t+5t2  хуулиар өөрчлөгдөнө гэж үзээд.        15 жилийн дараа түүний ачаалал ямар болохыг тодорхойл.,ойлгох,2
,Телефон сүлжээний дугаарлалтын бүтэцийг бичиж тайлбарла.  ,ойлгох,2
,Өгөгдсөн бүтцийн матрицын дагуу холбооны сүлжээний топологийг тодорхойлно  уу?  ,ойлгох,2
,Өгөгдсөн топологийг ашиглан сүлжээний матрицыг гаргаж  бичнэ үү?,ойлгох,2
